Время захвата пакетов;Общее число захваченных пакетов;Число пакетов localhost;Число пакетов broadcast;Число UDP сегментов;Число TCP сегментов;Число пакетов с опциями;Число фрагментированных пакетов;Общая интенсивность пакетов;Количество пакетов типа FIN;Количество пакетов типа SIN;Число пакетов, входящих в сеть;Число UDP сегментов входящих в сеть;Число TCP сегментов, входящих в сеть;Число пакетов с опциями, входящих в сеть;Число фрагментированных пакетов, входящих в сеть;Интенсивность пакетов, входящих в сеть;Количество пакетов типа FIN, входящих в сеть;Количество пакетов типа SIN, входящих в сеть;Число пакетов, исходящих из сети;Число UDP сегментов, исходящих из сети;Число TCP сегментов, исходящих из сети;Число пакетов с опциями, исходящих из сети;Число фрагментированных пакетов, исходящих из сети;Интенсивность пакетов, исходящих из сети;Количество пакетов типа FIN, исходящих из сети;Количество пакетов типа SIN, исходящих из сети
17:49:38-17:49:42;32;0;1;7;21;0;0;8;0;2;11;0;11;0;0;2,75;0;0;16;6;10;0;0;4;0;2
17:49:42-17:49:46;168;0;0;16;147;5;0;42;0;10;73;0;73;0;0;18,25;0;0;95;16;74;5;0;23,75;0;10
17:49:46-17:49:50;49;0;0;16;27;5;0;12,25;0;1;15;0;15;0;0;3,75;0;0;33;16;12;5;0;8,25;0;1
17:49:50-17:49:54;58;0;0;13;45;0;0;14,5;0;2;23;0;23;0;0;5,75;0;0;35;13;22;0;0;8,75;0;2
17:49:54-17:49:58;24;0;0;15;4;5;0;6;0;0;2;0;2;0;0;0,5;0;0;22;15;2;5;0;5,5;0;0
17:49:58-17:50:02;68;0;0;9;59;0;0;17;0;2;34;0;34;0;0;8,5;0;0;34;9;25;0;0;8,5;0;2
17:50:02-17:50:06;58;0;0;16;41;0;0;14,5;0;1;24;0;24;0;0;6;0;0;33;16;17;0;0;8,25;0;1
17:50:06-17:50:10;703;0;0;11;692;0;0;175,75;0;20;468;0;468;0;0;117;0;0;235;11;224;0;0;58,75;0;20
17:50:10-17:50:14;99;0;5;15;84;0;0;24,75;0;0;61;0;61;0;0;15,25;0;0;33;10;23;0;0;8,25;0;0
17:50:14-17:50:18;53;0;0;12;41;0;0;13,25;0;3;21;0;21;0;0;5,25;0;0;32;12;20;0;0;8;0;3
17:50:18-17:50:22;76;0;0;14;62;0;0;19;0;1;34;0;34;0;0;8,5;0;0;42;14;28;0;0;10,5;0;1
17:50:22-17:50:26;33;0;0;9;24;0;0;8,25;0;0;8;0;8;0;0;2;0;0;25;9;16;0;0;6,25;0;0
